Date-Time,Instantaneous computed discharge (cfs)_x,Computed instantaneous suspended sediment (mg/L),"Computed instantaneous suspended sediment, lower 90% prediction (mg/L)","Computed instantaneous suspended sediment, upper 90% prediction (mg/L)",Instantaneous computed discharge (cfs)_y,Instantaneous turbidity (FNU)
12/31/2014 23:00,4.2,1.5,1.0,4.7,4.2,1.0
12/31/2014 22:00,4.5,1.4,1.0,4.4,4.5,0.90
12/31/2014 21:00,4.5,1.4,1.0,4.4,4.5,0.90
12/31/2014 20:00,4.2,1.4,1.0,4.3,4.2,0.90
12/31/2014 19:00,4.5,1.2,1.0,3.9,4.5,0.80
12/31/2014 18:00,4.2,1.2,1.0,3.9,4.2,0.80
12/31/2014 17:00,4.5,1.5,1.0,4.8,4.5,1.0
12/31/2014 16:00,4.5,1.8,1.0,5.7,4.5,1.2
12/31/2014 15:00,4.5,2.3,1.0,7.4,4.5,1.6
12/31/2014 14:00,4.5,2.5,1.0,7.8,4.5,1.7
12/31/2014 13:00,4.2,1.0,1.0,3.2,4.2,0.60
12/31/2014 12:00,4.2,1.1,1.0,3.4,4.2,0.70
12/31/2014 11:00,4.5,1.1,1.0,3.5,4.5,0.70
12/31/2014 10:00,4.5,1.1,1.0,3.5,4.5,0.70
12/31/2014 09:00,4.2,1.2,1.0,3.9,4.2,0.80
12/31/2014 08:00,4.5,1.4,1.0,4.4,4.5,0.90
12/31/2014 07:00,4.5,1.4,1.0,4.4,4.5,0.90
12/31/2014 06:00,4.5,1.1,1.0,3.5,4.5,0.70
12/31/2014 05:00,4.5,1.1,1.0,3.5,4.5,0.70
12/31/2014 04:00,4.5,1.2,1.0,3.9,4.5,0.80
12/31/2014 03:00,4.5,1.2,1.0,3.9,4.5,0.80
12/31/2014 02:00,4.5,1.2,1.0,3.9,4.5,0.80
12/31/2014 01:00,4.5,1.2,1.0,3.9,4.5,0.80
12/31/2014 00:00,4.5,1.1,1.0,3.5,4.5,0.70
12/30/2014 23:00,4.5,1.2,1.0,3.9,4.5,0.80
12/30/2014 22:00,4.5,1.2,1.0,3.9,4.5,0.80
12/30/2014 21:00,4.8,1.3,1.0,4.0,4.8,0.80
12/30/2014 20:00,4.5,1.2,1.0,3.9,4.5,0.80
12/30/2014 19:00,4.5,1.4,1.0,4.4,4.5,0.90
12/30/2014 18:00,4.8,1.4,1.0,4.5,4.8,0.90
12/30/2014 17:00,4.5,1.1,1.0,3.5,4.5,0.70
12/30/2014 16:00,4.5,1.2,1.0,3.9,4.5,0.80
12/30/2014 15:00,4.5,1.2,1.0,3.9,4.5,0.80
12/30/2014 14:00,4.5,1.2,1.0,3.9,4.5,0.80
12/30/2014 13:00,4.5,1.4,1.0,4.4,4.5,0.90
12/30/2014 12:00,4.8,1.3,1.0,4.0,4.8,0.80
12/30/2014 11:00,4.8,1.4,1.0,4.5,4.8,0.90
12/30/2014 10:00,4.8,1.5,1.0,4.9,4.8,1.0
12/30/2014 09:00,4.8,1.5,1.0,4.9,4.8,1.0
12/30/2014 08:00,4.8,1.7,1.0,5.4,4.8,1.1
12/30/2014 07:00,4.5,1.8,1.0,5.7,4.5,1.2
12/30/2014 06:00,4.8,1.7,1.0,5.4,4.8,1.1
12/30/2014 05:00,4.8,1.5,1.0,4.9,4.8,1.0
12/30/2014 04:00,4.8,2.0,1.0,6.3,4.8,1.3
12/30/2014 03:00,5.1,2.0,1.0,6.4,5.1,1.3
12/30/2014 02:00,5.1,2.0,1.0,6.4,5.1,1.3
12/30/2014 01:00,5.1,1.6,1.0,5.0,5.1,1.0
12/30/2014 00:00,5.1,1.0,1.0,3.2,5.1,0.60
12/29/2014 23:00,5.1,1.0,1.0,3.2,5.1,0.50
12/29/2014 22:00,5.1,1.0,1.0,3.2,5.1,0.20
12/29/2014 21:00,5.4,1.0,1.0,3.2,5.4,0.40
12/29/2014 20:00,5.1,1.0,1.0,3.2,5.1,0.30
12/29/2014 19:00,5.1,1.0,1.0,3.2,5.1,0.60
12/29/2014 18:00,4.8,1.5,1.0,4.9,4.8,0
12/29/2014 17:00,4.8,1.5,1.0,4.9,4.8,0
12/29/2014 16:00,5.1,1.0,1.0,3.2,5.1,0.30
12/29/2014 15:00,5.1,1.0,1.0,3.2,5.1,0.40
12/29/2014 14:00,5.1,1.0,1.0,3.2,5.1,0.40
12/29/2014 13:00,5.1,1.0,1.0,3.2,5.1,0.20
12/29/2014 12:00,5.4,1.0,1.0,3.2,5.4,0.40
12/29/2014 11:00,5.4,1.0,1.0,3.2,5.4,0.50
12/29/2014 10:00,5.1,1.0,1.0,3.2,5.1,0.60
12/29/2014 09:00,5.4,1.5,1.0,4.6,5.4,0.90
12/29/2014 08:00,5.4,1.7,1.0,5.6,5.4,1.1
12/29/2014 07:00,5.4,1.2,1.0,3.7,5.4,0.70
12/29/2014 06:00,5.4,1.5,1.0,4.6,5.4,0.90
12/29/2014 05:00,5.8,2.1,1.0,6.6,5.8,1.3
12/29/2014 04:00,5.4,2.0,1.0,6.5,5.4,1.3
12/29/2014 03:00,5.8,1.6,1.0,5.2,5.8,1.0
12/29/2014 02:00,5.8,2.1,1.0,6.6,5.8,1.3
12/29/2014 01:00,5.8,2.2,1.0,7.1,5.8,1.4
12/29/2014 00:00,5.1,1.9,1.0,5.9,5.1,1.2
12/28/2014 23:00,5.4,1.5,1.0,4.6,5.4,0.90
12/28/2014 22:00,5.4,1.5,1.0,4.6,5.4,0.90
12/28/2014 21:00,5.4,1.7,1.0,5.6,5.4,1.1
12/28/2014 20:00,5.4,1.3,1.0,4.2,5.4,0.80
12/28/2014 19:00,5.8,1.5,1.0,4.7,5.8,0.90
12/28/2014 18:00,5.8,1.6,1.0,5.2,5.8,1.0
12/28/2014 17:00,5.4,3.0,1.0,9.6,5.4,2.0
12/28/2014 16:00,5.1,1.0,1.0,3.2,5.1,0.60
12/28/2014 15:00,5.1,1.6,1.0,5.0,5.1,1.0
12/28/2014 14:00,5.4,1.6,1.0,5.1,5.4,0
12/28/2014 13:00,5.4,1.6,1.0,5.1,5.4,1.0
12/28/2014 12:00,5.4,1.9,1.0,6.0,5.4,1.2
12/28/2014 11:00,5.1,2.0,1.0,6.4,5.1,1.3
12/28/2014 10:00,5.4,2.0,1.0,6.5,5.4,1.3
12/28/2014 09:00,5.4,1.2,1.0,3.7,5.4,0.70
12/28/2014 08:00,5.4,1.6,1.0,5.1,5.4,1.0
12/28/2014 07:00,5.4,1.9,1.0,6.0,5.4,1.2
12/28/2014 06:00,5.8,2.9,1.0,9.4,5.8,1.9
12/28/2014 05:00,5.8,2.8,1.0,8.9,5.8,1.8
12/28/2014 04:00,5.4,2.3,1.0,7.4,5.4,1.5
12/28/2014 03:00,5.8,2.7,1.0,8.5,5.8,1.7
12/28/2014 02:00,5.8,2.7,1.0,8.5,5.8,1.7
12/28/2014 01:00,5.8,2.8,1.0,8.9,5.8,1.8
12/28/2014 00:00,5.8,2.7,1.0,8.5,5.8,1.7
12/27/2014 23:00,5.8,2.9,1.0,9.4,5.8,1.9
12/27/2014 22:00,5.8,2.9,1.0,9.4,5.8,1.9
12/27/2014 21:00,5.8,2.8,1.0,8.9,5.8,1.8
12/27/2014 20:00,6.1,2.8,1.0,9.1,6.1,1.8
12/27/2014 19:00,6.1,2.8,1.0,9.1,6.1,1.8
12/27/2014 18:00,6.1,3.0,1.0,9.5,6.1,1.9
12/27/2014 17:00,6.1,2.8,1.0,9.1,6.1,1.8
