Date-Time,Instantaneous computed discharge (cfs)_x,Computed instantaneous suspended sediment (mg/L),"Computed instantaneous suspended sediment, lower 90% prediction (mg/L)","Computed instantaneous suspended sediment, upper 90% prediction (mg/L)",Instantaneous computed discharge (cfs)_y
11/28/2018 12:00,53,1.0,1.0,2.7,53
11/28/2018 08:00,54,1.0,1.0,2.7,54
11/28/2018 04:00,54,1.0,1.0,2.7,54
11/28/2018 00:00,55,1.0,1.0,2.7,55
11/27/2018 20:00,56,1.0,1.0,2.7,56
11/27/2018 16:00,57,1.0,1.0,2.7,57
11/27/2018 12:00,58,1.0,1.0,2.7,58
11/27/2018 08:00,58,1.0,1.0,2.7,58
11/27/2018 04:00,60,1.0,1.0,2.8,60
11/27/2018 00:00,61,1.0,1.0,2.8,61
11/26/2018 20:00,62,1.0,1.0,2.8,62
11/26/2018 16:00,62,1.0,1.0,2.8,62
11/26/2018 12:00,62,1.0,1.0,2.8,62
11/26/2018 08:00,62,1.0,1.0,2.8,62
11/26/2018 04:00,64,1.0,1.0,2.8,64
11/26/2018 00:00,64,1.0,1.0,2.8,64
11/25/2018 20:00,67,1.0,1.0,2.8,67
11/25/2018 16:00,68,1.0,1.0,2.8,68
11/25/2018 12:00,69,1.0,1.0,2.8,69
11/25/2018 08:00,71,1.0,1.0,2.8,71
11/25/2018 04:00,72,1.0,1.0,2.8,72
11/25/2018 00:00,71,1.0,1.0,2.8,71
11/24/2018 20:00,71,1.0,1.0,2.8,71
11/24/2018 16:00,69,1.0,1.0,2.8,69
11/24/2018 12:00,65,1.0,1.0,2.8,65
11/24/2018 08:00,59,1.0,1.0,2.8,59
11/24/2018 04:00,53,1.0,1.0,2.7,53
11/24/2018 00:00,47,1.0,1.0,2.7,47
11/23/2018 20:00,39,1.0,1.0,2.6,39
11/23/2018 16:00,30,1.0,1.0,2.6,30
11/23/2018 12:00,22,1.0,1.0,2.5,22
11/23/2018 08:00,17,1.0,1.0,2.5,17
11/23/2018 04:00,15,1.0,1.0,2.5,15
11/23/2018 00:00,12,1.0,1.0,2.5,12
11/22/2018 20:00,11,1.0,1.0,2.5,11
11/22/2018 16:00,11,1.0,1.0,2.5,11
11/22/2018 12:00,11,1.0,1.0,2.5,11
11/22/2018 08:00,11,1.0,1.0,2.5,11
11/22/2018 04:00,11,1.0,1.0,2.5,11
11/22/2018 00:00,11,1.0,1.0,2.5,11
11/21/2018 20:00,11,1.0,1.0,2.5,11
11/21/2018 16:00,11,1.0,1.0,2.5,11
11/21/2018 12:00,12,1.0,1.0,2.5,12
11/21/2018 08:00,12,1.0,1.0,2.5,12
11/21/2018 04:00,12,1.0,1.0,2.5,12
