Date-Time,Instantaneous computed discharge (cfs),Computed instantaneous suspended sediment (mg/L),"Computed instantaneous suspended sediment, lower 90% prediction (mg/L)","Computed instantaneous suspended sediment, upper 90% prediction (mg/L)",Computed instantaneous sediment corrected backscatter (dB)
12/28/2017 14:00,2760,1.0,1.0,2.8,51
12/28/2017 13:00,2760,1.0,1.0,2.8,51
12/28/2017 12:00,2680,1.0,1.0,2.8,51
12/28/2017 11:00,2440,1.0,1.0,2.7,51
12/28/2017 10:00,2470,1.0,1.0,2.7,52
12/28/2017 09:00,2740,1.1,1.0,2.8,53
12/28/2017 08:00,2890,1.0,1.0,2.7,52
12/28/2017 07:00,2710,1.0,1.0,2.8,51
12/28/2017 06:00,2620,1.0,1.0,2.8,51
12/28/2017 05:00,2700,1.0,1.0,2.8,51
12/28/2017 04:00,2820,1.0,1.0,2.7,52
12/28/2017 03:00,2740,1.0,1.0,2.7,51
12/28/2017 02:00,2700,1.1,1.0,2.8,53
12/28/2017 01:00,2660,1.2,1.0,3.2,53
12/28/2017 00:00,2770,1.0,1.0,2.7,52
12/27/2017 23:00,2530,1.2,1.0,3.2,53
12/27/2017 22:00,2450,1.4,1.0,3.6,54
12/27/2017 21:00,2450,1.3,1.0,3.4,54
12/27/2017 20:00,2490,1.1,1.0,3.0,53
12/27/2017 19:00,2530,1.2,1.0,3.2,53
12/27/2017 18:00,2680,1.0,1.0,2.8,53
12/27/2017 17:00,2800,1.0,1.0,2.7,51
12/27/2017 16:00,2840,1.0,1.0,2.7,52
12/27/2017 15:00,2800,1.2,1.0,3.1,53
12/27/2017 14:00,2750,1.6,1.0,4.0,55
12/27/2017 13:00,2790,1.2,1.0,3.1,53
12/27/2017 12:00,2710,1.4,1.0,3.6,54
12/27/2017 11:00,2870,1.0,1.0,2.7,52
12/27/2017 10:00,2670,1.3,1.0,3.5,54
12/27/2017 09:00,2670,1.2,1.0,3.2,53
12/27/2017 08:00,2790,1.0,1.0,2.7,52
12/27/2017 07:00,2830,1.0,1.0,2.8,51
