Date-Time,Instantaneous computed discharge (cfs),Computed instantaneous suspended sediment (mg/L)
12/31/2013 23:00,23100,160
12/31/2013 22:00,23100,160
12/31/2013 21:00,23100,160
12/31/2013 20:00,23100,160
12/31/2013 19:00,23200,160
12/31/2013 17:00,23200,160
12/31/2013 16:00,23200,160
12/31/2013 15:00,23100,160
12/31/2013 14:00,23300,160
12/31/2013 13:00,23200,160
12/31/2013 12:00,23200,160
12/31/2013 11:00,23100,160
12/31/2013 10:00,23100,160
12/31/2013 09:00,23100,160
12/31/2013 08:00,23100,160
12/31/2013 07:00,23100,160
12/31/2013 06:00,23100,160
12/31/2013 05:00,23100,160
12/31/2013 03:00,23100,160
12/31/2013 02:00,23100,160
12/31/2013 01:00,23100,160
12/31/2013 00:00,23100,160
12/30/2013 23:00,23100,160
12/30/2013 22:00,23000,160
12/30/2013 21:00,23000,160
12/30/2013 20:00,23100,160
12/30/2013 19:00,23000,160
12/30/2013 18:00,22900,160
12/30/2013 17:00,22800,160
12/30/2013 16:00,22800,160
12/30/2013 15:00,22900,160
12/30/2013 14:00,22800,160
12/30/2013 12:00,22700,160
12/30/2013 10:00,22400,160
12/30/2013 09:00,22400,160
12/30/2013 08:00,22400,160
12/30/2013 07:00,22600,160
12/30/2013 06:00,22400,160
12/30/2013 05:00,22400,160
12/30/2013 04:00,22400,160
12/30/2013 03:00,22500,160
12/30/2013 02:00,22300,160
12/30/2013 01:00,22400,160
12/30/2013 00:00,22400,160
12/29/2013 23:00,22400,160
12/29/2013 22:00,22300,160
12/29/2013 21:00,22200,160
12/29/2013 20:00,22400,160
12/29/2013 19:00,22200,160
12/29/2013 18:00,22300,160
12/29/2013 17:00,22200,160
12/29/2013 16:00,22300,160
12/29/2013 15:00,22300,160
12/29/2013 14:00,22300,160
12/29/2013 13:00,22300,160
12/29/2013 12:00,22300,160
12/29/2013 11:00,22200,160
12/29/2013 10:00,22300,160
12/29/2013 09:00,22300,160
12/29/2013 07:00,22300,160
12/29/2013 05:00,22300,160
12/29/2013 04:00,22300,160
12/29/2013 03:00,22300,160
12/29/2013 02:00,22400,160
12/29/2013 01:00,22300,160
12/29/2013 00:00,22300,160
12/28/2013 23:00,22400,160
12/28/2013 22:00,22400,160
12/28/2013 21:00,22300,160
12/28/2013 20:00,22400,160
12/28/2013 19:00,22400,160
12/28/2013 18:00,22400,160
12/28/2013 17:00,22400,160
12/28/2013 16:00,22400,160
12/28/2013 15:00,22500,160
12/28/2013 14:00,22400,160
12/28/2013 13:00,22500,160
12/28/2013 12:00,22400,160
12/28/2013 11:00,22400,160
12/28/2013 10:00,22400,160
12/28/2013 09:00,22400,160
12/28/2013 08:00,22400,160
12/28/2013 07:00,22400,160
12/28/2013 06:00,22400,160
12/28/2013 05:00,22500,160
12/28/2013 04:00,22500,160
12/28/2013 03:00,22400,160
12/28/2013 01:00,22300,160
12/28/2013 00:00,22400,160
12/27/2013 23:00,22600,160
12/27/2013 22:00,22600,160
12/27/2013 21:00,22600,160
12/27/2013 20:00,22600,160
12/27/2013 19:00,22600,160
12/27/2013 18:00,22600,160
12/27/2013 17:00,22600,160
12/27/2013 16:00,22600,160
12/27/2013 15:00,22500,160
12/27/2013 14:00,22500,160
12/27/2013 13:00,22300,160
12/27/2013 12:00,22300,160
12/27/2013 10:00,22300,160
12/27/2013 09:00,22300,160
12/27/2013 08:00,22200,160
12/27/2013 07:00,22200,160
12/27/2013 06:00,22200,160
12/27/2013 05:00,22200,160
12/27/2013 04:00,22200,160
12/27/2013 03:00,22100,160
12/27/2013 02:00,22000,160
12/27/2013 01:00,22000,160
12/27/2013 00:00,22100,160
12/26/2013 23:00,22000,160
12/26/2013 22:00,21900,160
12/26/2013 21:00,21900,160
12/26/2013 20:00,21800,160
12/26/2013 19:00,21800,160
12/26/2013 18:00,21700,160
12/26/2013 17:00,21700,160
12/26/2013 16:00,21700,160
12/26/2013 15:00,21600,160
12/26/2013 14:00,21600,160
12/26/2013 13:00,21600,160
12/26/2013 12:00,21400,160
12/26/2013 11:00,21300,160
12/26/2013 10:00,21300,160
12/26/2013 09:00,21100,160
12/26/2013 08:00,21200,160
