Date-Time,Instantaneous computed discharge (cfs),Computed instantaneous suspended sediment (mg/L),"Computed instantaneous suspended sediment, lower 90% prediction (mg/L)","Computed instantaneous suspended sediment, upper 90% prediction (mg/L)",Instantaneous turbidity (FNU)
12/31/2013 23:00,32500,64,1.0,210,11
12/31/2013 22:00,32500,66,1.0,220,12
12/31/2013 21:00,32600,64,1.0,210,11
12/31/2013 20:00,32700,64,1.0,210,11
12/31/2013 19:00,32600,64,1.0,210,11
12/31/2013 18:00,32500,64,1.0,210,11
12/31/2013 17:00,32400,66,1.0,220,12
12/31/2013 16:00,32400,64,1.0,210,11
12/31/2013 15:00,32200,66,1.0,220,12
12/31/2013 14:00,32200,64,1.0,210,11
12/31/2013 13:00,32000,66,1.0,220,12
12/31/2013 12:00,31700,66,1.0,220,12
12/31/2013 11:00,31600,66,1.0,220,12
12/31/2013 10:00,31400,66,1.0,220,12
12/31/2013 09:00,31200,66,1.0,220,12
12/31/2013 08:00,31000,66,1.0,220,12
12/31/2013 07:00,30700,66,1.0,220,12
12/31/2013 06:00,30600,66,1.0,220,12
12/31/2013 05:00,30500,66,1.0,220,12
12/31/2013 04:00,30300,66,1.0,220,12
12/31/2013 03:00,30200,66,1.0,220,12
12/31/2013 02:00,30100,66,1.0,220,12
12/31/2013 01:00,30000,68,1.0,220,13
12/31/2013 00:00,30000,66,1.0,220,12
12/30/2013 23:00,30000,66,1.0,220,12
12/30/2013 22:00,30000,66,1.0,220,12
12/30/2013 21:00,29900,66,1.0,220,12
12/30/2013 20:00,29900,66,1.0,220,12
12/30/2013 19:00,30000,68,1.0,220,13
12/30/2013 18:00,30000,66,1.0,220,12
12/30/2013 17:00,30100,66,1.0,220,12
12/30/2013 16:00,30200,66,1.0,220,12
12/30/2013 15:00,30300,66,1.0,220,12
12/30/2013 14:00,30400,66,1.0,220,12
12/30/2013 13:00,30300,66,1.0,220,12
12/30/2013 12:00,30500,66,1.0,220,12
12/30/2013 11:00,30500,66,1.0,220,12
12/30/2013 10:00,30600,66,1.0,220,12
12/30/2013 09:00,30600,66,1.0,220,12
12/30/2013 07:00,30800,64,1.0,210,11
12/30/2013 06:00,30800,66,1.0,220,12
12/30/2013 05:00,30900,66,1.0,220,12
12/30/2013 04:00,30900,66,1.0,220,12
12/30/2013 03:00,31000,66,1.0,220,12
12/30/2013 02:00,31200,66,1.0,220,12
12/30/2013 01:00,31200,64,1.0,210,11
12/30/2013 00:00,31300,66,1.0,220,12
12/29/2013 23:00,31400,64,1.0,210,11
12/29/2013 22:00,31500,66,1.0,220,12
12/29/2013 21:00,31600,66,1.0,220,12
12/29/2013 20:00,31700,66,1.0,220,12
12/29/2013 19:00,31800,66,1.0,220,12
12/29/2013 18:00,31900,66,1.0,220,12
12/29/2013 17:00,32100,66,1.0,220,12
12/29/2013 16:00,32100,66,1.0,220,12
12/29/2013 15:00,32200,66,1.0,220,12
12/29/2013 14:00,32300,66,1.0,220,12
12/29/2013 13:00,32400,66,1.0,220,12
12/29/2013 12:00,32500,64,1.0,210,11
12/29/2013 11:00,32600,66,1.0,220,12
12/29/2013 10:00,32800,66,1.0,220,12
12/29/2013 09:00,32800,66,1.0,220,12
12/29/2013 08:00,33000,66,1.0,220,12
12/29/2013 07:00,33100,66,1.0,220,12
12/29/2013 06:00,33100,66,1.0,220,12
12/29/2013 05:00,33200,66,1.0,220,12
12/29/2013 04:00,33200,66,1.0,220,12
12/29/2013 03:00,33300,66,1.0,220,12
12/29/2013 02:00,33400,66,1.0,220,12
12/29/2013 01:00,33500,66,1.0,220,12
12/29/2013 00:00,33500,66,1.0,220,12
12/28/2013 23:00,33400,66,1.0,220,12
12/28/2013 22:00,33500,66,1.0,220,12
12/28/2013 21:00,33500,66,1.0,220,12
12/28/2013 20:00,33600,66,1.0,220,12
12/28/2013 19:00,33600,66,1.0,220,12
12/28/2013 18:00,33500,66,1.0,220,12
12/28/2013 17:00,33500,66,1.0,220,12
12/28/2013 16:00,33600,68,1.0,220,13
12/28/2013 15:00,33500,66,1.0,220,12
12/28/2013 14:00,33400,68,1.0,220,13
12/28/2013 13:00,33400,68,1.0,220,13
12/28/2013 12:00,33400,68,1.0,220,13
12/28/2013 11:00,33400,68,1.0,220,13
