Date-Time,Instantaneous computed discharge (cfs),"Computed instantaneous suspended sediment, upper 90% prediction (mg/L)",Computed instantaneous suspended sediment (mg/L),"Computed instantaneous suspended sediment, lower 90% prediction (mg/L)",Instantaneous turbidity (FNU)
12/31/2016 23:00,521,15,11,7.8,8.1
12/31/2016 22:00,516,14,10,7.5,7.8
12/31/2016 21:00,516,14,10,7.2,7.5
12/31/2016 20:00,516,13,9.2,6.6,6.9
12/31/2016 19:00,511,12,8.8,6.3,6.6
12/31/2016 18:00,511,11,8.0,5.7,6.0
12/31/2016 17:00,511,10,7.5,5.3,5.6
12/31/2016 16:00,511,10,7.1,5.0,5.3
12/31/2016 15:00,505,9.6,6.8,4.8,5.1
12/31/2016 14:00,511,9.2,6.5,4.6,4.9
12/31/2016 13:00,511,9.2,6.5,4.6,4.9
12/31/2016 12:00,516,8.9,6.3,4.4,4.7
12/31/2016 11:00,516,8.9,6.3,4.4,4.7
12/31/2016 10:00,521,8.9,6.3,4.4,4.7
12/31/2016 09:00,521,9.1,6.4,4.5,4.8
12/31/2016 08:00,516,8.9,6.3,4.4,4.7
12/31/2016 07:00,521,8.9,6.3,4.4,4.7
12/31/2016 06:00,516,8.9,6.3,4.4,4.7
12/31/2016 05:00,521,9.1,6.4,4.5,4.8
12/31/2016 04:00,521,8.9,6.3,4.4,4.7
12/31/2016 03:00,521,8.7,6.1,4.3,4.6
12/31/2016 02:00,521,8.5,6.0,4.2,4.5
12/31/2016 01:00,521,8.3,5.9,4.1,4.4
12/31/2016 00:00,516,8.3,5.9,4.1,4.4
12/30/2016 23:00,516,8.3,5.9,4.1,4.4
12/30/2016 22:00,516,8.3,5.9,4.1,4.4
12/30/2016 21:00,511,8.3,5.9,4.1,4.4
12/30/2016 20:00,516,8.3,5.9,4.1,4.4
12/30/2016 19:00,521,8.5,6.0,4.2,4.5
12/30/2016 18:00,516,8.3,5.9,4.1,4.4
12/30/2016 17:00,516,8.5,6.0,4.2,4.5
12/30/2016 16:00,521,8.3,5.9,4.1,4.4
12/30/2016 15:00,521,8.5,6.0,4.2,4.5
12/30/2016 14:00,505,8.3,5.9,4.1,4.4
