Date-Time,Instantaneous computed discharge (cfs)_x,Computed instantaneous suspended sediment (mg/L),"Computed instantaneous suspended sediment, lower 90% prediction (mg/L)","Computed instantaneous suspended sediment, upper 90% prediction (mg/L)",Instantaneous computed discharge (cfs)_y,Computed instantaneous sediment corrected backscatter (dB)
12/31/2016 23:00,331,10,1.0,100,330,61
12/31/2016 22:00,479,10,1.0,100,480,61
12/31/2016 21:00,34,6.5,1.0,63,34,56
12/31/2016 20:00,330,12,1.1,120,330,62
12/31/2016 19:00,330,9.1,1.0,92,330,60
12/31/2016 18:00,479,9.2,1.0,93,480,60
12/31/2016 17:00,479,9.9,1.0,100,480,60
12/31/2016 16:00,577,12,1.1,130,580,62
12/31/2016 15:00,577,11,1.0,110,580,61
12/31/2016 14:00,479,11,1.1,120,480,62
12/31/2016 13:00,429,10,1.0,110,430,61
12/31/2016 12:00,281,7.9,1.0,79,280,58
12/31/2016 11:00,133,13,1.2,140,130,63
12/31/2016 10:00,34,6.4,1.0,62,34,56
12/31/2016 09:00,-163,10,1.0,110,-160,61
12/31/2016 08:00,-359,9.7,1.0,100,-360,61
12/31/2016 07:00,-408,12,1.1,130,-410,63
12/31/2016 06:00,-113,11,1.1,120,-110,62
12/31/2016 05:00,-64,11,1.1,120,-64,62
12/31/2016 04:00,-15,11,1.1,120,-15,62
12/31/2016 03:00,-15,10,1.0,110,-15,61
12/31/2016 02:00,34,11,1.1,120,34,62
12/31/2016 01:00,34,11,1.1,120,34,62
12/31/2016 00:00,83,12,1.1,130,83,63
12/30/2016 23:00,229,12,1.1,130,230,63
12/30/2016 22:00,180,13,1.2,140,180,64
12/30/2016 21:00,473,14,1.3,160,470,64
12/30/2016 20:00,424,13,1.2,140,420,63
12/30/2016 19:00,570,14,1.3,160,570,64
12/30/2016 18:00,570,13,1.2,140,570,63
12/30/2016 17:00,717,13,1.2,140,720,63
12/30/2016 16:00,863,12,1.1,120,860,62
12/30/2016 15:00,816,12,1.1,120,820,62
12/30/2016 14:00,963,10,1.0,100,960,60
12/30/2016 13:00,915,9.9,1.0,100,920,60
12/30/2016 12:00,865,13,1.2,130,870,63
12/30/2016 11:00,621,12,1.1,130,620,62
12/30/2016 10:00,-15,12,1.1,130,-15,63
12/30/2016 09:00,34,11,1.1,120,34,62
12/30/2016 08:00,-15,11,1.0,110,-15,62
12/30/2016 07:00,-64,10,1.0,110,-64,61
12/30/2016 06:00,-15,9.7,1.0,100,-15,61
12/30/2016 05:00,-15,9.3,1.0,96,-15,60
12/30/2016 04:00,-64,10,1.0,110,-64,61
